Country,ISO,year,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
Uzbekistan,UZB,2018,7,32476.232,71.6,6.205460072,1.955702187,53.99254102,1.57,6755.480974
Kyrgyzstan,KGZ,2018,7,6304.025,71.3,5.297383308,1.499857642,50.47203196,1.57,5133.151914
Serbia,SRB,2018,7,8802.741,75.8,5.936493397,2.682327287,51.20114469,1.57,17508.5278
Nepal,NPL,2018,6,28095.712,70.5,4.910086632,1.173995395,49.16969376,1.57,3252.743328
Thailand,THA,2018,8,69428.454,76.9,6.011561871,2.624175811,52.86786519,1.57,18086.50771
Germany,DEU,2018,3,83124.413,81.2,7.118364334,4.583985349,52.49810705,1.57,53634.14458
Spain,ESP,2018,3,46692.863,83.4,6.513370991,4.086202229,52.89059426,1.57,40441.27469
France,FRA,2018,3,64990.512,82.5,6.665903568,4.498721588,51.17811753,1.57,45488.65322
Mauritius,MUS,2018,5,1267.184,74.9,5.88174057,3.000772758,48.46616829,1.57,22208.13812
Finland,FIN,2018,3,5522.585,81.7,7.85810709,5.857173209,51.18811549,1.57,48303.3622
Senegal,SEN,2018,5,15854.324,67.7,4.769377232,1.158450903,46.03607262,1.57,3314.785689
Ireland,IRL,2018,3,4818.694,82.1,6.962335587,5.107560986,49.8516289,1.57,83388.72115
Albania,ALB,2018,7,2882.735,78.5,5.004402637,1.997753708,50.82174031,1.57,13366.30306
Moldova,MDA,2018,7,4051.95,71.8,5.682277203,1.96620229,50.60364962,1.57,12363.14684
Norway,NOR,2018,3,5337.96,82.3,7.444262028,5.667377822,50.21740314,1.57,64655.68752
Morocco,MAR,2018,4,36029.089,76.5,4.896791935,1.782915598,49.87068701,1.57,7437.637535
Italy,ITA,2018,3,60627.291,83.4,6.516526699,4.432096245,51.21839408,1.57,42187.82412
Sweden,SWE,2018,3,9971.63,82.7,7.374792099,5.844604264,49.38821142,1.57,52516.45407
"Palestine, State of",PSE,2018,4,4862.978,73.9,4.5539217,0.864397842,51.30103809,1.57,6318.210068
Argentina,ARG,2018,1,44361.15,76.5,5.792796612,3.258791452,47.75514195,1.57,22759.39856
Indonesia,IDN,2018,8,267670.549,71.5,5.340295792,1.700775266,49.67023522,1.57,11371.53194
Cyprus,CYP,2018,3,1189.262,80.8,6.276443005,3.905683383,50.52531122,1.57,38822.49197
Venezuela,VEN,2018,1,28887.117,72.1,5.005663395,1.92698938,46.52875272,1.57,..
Greece,GRC,2018,3,10522.244,82.1,5.40928936,4.079718668,45.29208356,1.57,29859.80485
Vietnam,VNM,2018,8,95545.959,75.3,5.295547009,2.396014334,48.213858,1.57,7586.384939
Israel,ISR,2018,4,8381.507,82.8,6.92717886,5.785174899,47.33166993,1.57,39600.27751
Azerbaijan,AZE,2018,7,9949.537,72.9,5.167995453,1.964655733,48.00791652,1.57,14209.64941
Cambodia,KHM,2018,8,16249.795,69.6,5.121837616,1.391165707,48.56430751,1.57,4159.337426
Iceland,ISL,2018,3,336.712,82.9,7.504359245,6.710243699,46.88231567,1.57,55866.18927
Slovenia,SVN,2018,7,2077.836,81.2,6.249419212,4.991998824,45.80267268,1.57,38089.53867
Bosnia and Herzegovina,BIH,2018,7,3323.929,77.3,5.887401104,3.508819012,47.66868461,1.57,14432.68266
Paraguay,PRY,2018,1,6956.069,74.1,5.68296051,2.948252402,46.92878022,1.57,12850.46496
Congo (Brazzaville),COG,2018,5,5244.363,64.3,5.490214348,1.058979128,48.75799677,1.57,3906.939945
Japan,JPN,2018,8,127202.19,84.5,5.793575287,4.666630762,46.57069051,1.57,41309.95609
Czech Republic,CZE,2018,7,10665.679,79.2,7.034165382,5.443617793,46.92872321,1.57,40053.77367
Austria,AUT,2018,3,8891.383,81.4,7.396001816,5.996407697,48.05222106,1.57,55474.20315
Sri Lanka,LKA,2018,6,21228.76,76.8,4.435023785,1.485890943,48.48710561,1.57,12864.60635
Slovakia,SVK,2018,7,5453.017,77.4,6.23511076,4.352998824,45.93018711,1.57,31283.76368
